Name,Realm,Character,Tier,Element,Type,Owned
Shijin Spiral,I,Wol,BSB,NE,PHY,True
Howl of Hell,I,Wol,BSB,NE,PHY,True
Overkill,I,Wol,USB,NE,PHY,True
True Arc Slash,I,Wol,USB,Holy Earth,PHY,False
Sudden Smite,I,Wol,USB,Holy Earth,PHY,True
True Sudden Smite,I,Wol,ASB,Holy Earth,PHY,False
Elemental Choice,I,Wol,GL,Holy Earth,PHY,False
Weakness Weapon,I,Wol,GL2,Earth Holy,NA,True
Rune Saber,I,Wol,AW,Holy Earth,PHY,False
Begraben,I,Wol,Sync,Earth Holy,PHY,False
Axle Cutter,I,Wol,OLB,Earth Holy,PHY,False
Purging Steel,I,Wol,AD,Earth Holy,PHY,False
Awoken Sudden Smite,I,Wol,DuAW,Earth Holy,PHY,False
Elemental Gift,I,Echo,Unique,Lightning,MAG,False
Hastening Gift,I,Echo,SSB,NE,NA,True
Breaker's Gift,I,Echo,SSB,NE,NA,True
Echo's Prize,I,Echo,BSB,NE,NA,False
Echoing Mischief,I,Echo,BSB,Holy,MAG,True
Echo Collaboration,I,Echo,USB,NE,NA,True
Echo Showtime,I,Echo,USB,NE,NA,False
Faerie Cry,I,Echo,GL2,NE,NA,True
Voice of Light,I,Echo,AW,NE,NA,False
Faerie Tale,I,Echo,Sync,NE,NA,False
Moment of Clarity,I,Master,SSB,NE,PHY,True
Show of Courage,I,Master,BSB,NE,PHY,True
Fighting Frenzy,I,Master,USB,Earth Fire Lightning,PHY,False
Empty Fist,I,Master,USB,NE,PHY,False
Pinnacle Pugilist,I,Master,ASB,Earth Fire Lightning,PHY,True
Psyche Up,I,Master,GL,Earth Fire Lightning,PHY,False
Undivided Focus,I,Master,GL,NE,PHY,False
Blazing Speed,I,Master,GL2,NE,PHY,True
Zealous Spirit,I,Master,GL2,NE,NA,False
Driving Fist,I,Master,AW,Earth Fire Lightning,PHY,False
Skilled Skirmisher,I,Master,AW,Earth Fire Lightning,PHY,False
Raging Spirit,I,Master,Sync,Earth Fire Lightning,PHY,True
Crowning Strike,I,Master,AD,Earth Fire Lightning,PHY,True
Awoken moment of Clarity,I,Master,DuAW,Earth Fire Lightning,PHY,False
Witch's Brew,I,Matoya,SSB,NE,NA,True
Inner Eye,I,Matoya,BSB,Fire Ice Lightning,MAG,True
Crystal Power,I,Matoya,USB,Fire Ice Lightning,MAG,True
Crystal Burst,I,Matoya,ASB,Fire Ice Lightning,MAG,False
Witch's Concoction,I,Matoya,GL2,Fire Ice Lightning,NA,True
Witch's Awakening,I,Matoya,AW,Fire Ice Lightning,MAG,True
Cauldron Chant,I,Matoya,Sync,Fire Ice Lightning,MAG,False
Matoya's Might,I,Matoya,AD,Fire Ice Lightning,MAG,False
Elan Vital,I,Meia,SSB,Water Ice,MAG,True
Famfrit,I,Meia,BSB,Water,MAG,True
Pallida Mors,I,Meia,OSB,Water,MAG,True
Surging Wave,I,Meia,USB,Water,MAG,False
Blue Water Magic,I,Meia,Chain3,Water,MAG,False
Fata Fiore,I,Meia,ASB,Water,MAG,False
Fiat Lux,I,Meia,GL,Water,MAG,False
True Lux,I,Meia,GL2,Water,MAG,False
Megido Flood,I,Meia,AW,Water,MAG,False
Farfall Nera,I,Meia,AW,Water,MAG,False
Primal Undine,I,Meia,Sync,Water,MAG,False
Fanatical Dance,I,Meia,AD,Water,MAG,False
Scourge Edge,I,Thief (I),SSB,Wind Poison,PHY,False
Invisibreak,I,Thief (I),BSB,Wind Poison,PHY,True
Hollow Blast,I,Thief (I),USB,Wind Poison,PHY,True
Dust Devil,I,Thief (I),ASB,Wind Poison,PHY,True
Wind Trick,I,Thief (I),GL,Wind Poison,PHY,True
Wind Drive,I,Thief (I),GL2,Wind,PHY,False
Lively Thieves,I,Thief (I),AW,Wind Poison,PHY,False
Notorious Thieves,I,Thief (I),AW,Wind Poison,PHY,True
Crescent Gale,I,Thief (I),Sync,Wind Poison,PHY,False
Wild Rose Vow,II,Firion,Unique,NE,PHY,True
Lord of Arms,II,Firion,SSB,NE,PHY,True
Shining Blade,II,Firion,SSB,Holy,PHY,True
Weaponsmaster,II,Firion,BSB,Holy,PHY,True
Rose of Rebellion,II,Firion,OSB,Holy,PHY,True
Double Trouble,II,Firion,USB,Holy,PHY,True
Rush of Arms,II,Firion,USB,Holy Fire Ice,PHY,True
Fervid Blazer,II,Firion,USB,Holy Fire Ice,PHY,True
Blade Combo,II,Firion,USB,Holy Fire Ice,PHY,False
Thorns of the Rose,II,Firion,ASB,Holy Fire Ice,PHY,True
Weapon Specialist,II,Firion,GL,NE,PHY,True
Weapon Change,II,Firion,GL2,Holy Fire Ice,PHY,False
Crown of Arms,II,Firion,AW,Holy Fire Ice,PHY,False
Ruler of Arms,II,Firion,AW,Holy Fire Ice,PHY,False
Blizzard Lord,II,Firion,Sync,Ice,PHY,False
Weapon Master,II,Firion,Sync,Holy Fire,PHY,False
Full Mastery,II,Firion,Sync,Holy Fire Ice,PHY,True
Wild Rose Fist,II,Firion,OLB,Holy Fire Ice,PHY,True
Bond (Firion),II,Firion,Chain4,ALL,PHY MAG,False
Blast,II,Maria,Unique,NE,MAG,False
Thunder XVI,II,Maria,SSB,Lightning,MAG,False
Meteor XVI,II,Maria,BSB,Earth,MAG,False
Kerplode XXXII,II,Maria,OSB,Earth,MAG,False
Magma XXXII,II,Maria,USB,Earth,MAG,True
Earth Bond,II,Maria,Chain4,Earth,MAG,False
Meteor Shower LXIV,II,Maria,ASB,Earth,MAG,True
Faith VIII,II,Maria,GL,Earth,MAG,False
Earth Infusion XVI,II,Maria,GL2,Earth,MAG,False
Sagittarius LXIV,II,Maria,AW,Earth,MAG,False
Armageddon XCIX,II,Maria,Sync,Earth,MAG,True
Cosmic Arrow XCIX,II,Maria,Sync,Earth,MAG,False
Galaxia XCIX,II,Maria,AD,Earth,MAG,False
Awoken Sagittarius LXIV,II,Maria,DuAW,Earth,MAG,False
Gaia Drum,II,Guy,SSB,Earth,PHY,True
Gigantbreak,II,Guy,BSB,Earth,PHY,False
True Strength,II,Guy,USB,Earth,PHY,True
Lupine Maul,II,Guy,USB,Earth,PHY,True
Gaia Impact,II,Guy,ASB,Earth,PHY,True
Gaia Support,II,Guy,GL2,Earth,NA,False
Lupine Stance,II,Guy,GL2,Earth,NA,False
Heroic Might,II,Guy,AW,Earth,PHY,False
Moon Howl,II,Guy,Sync,Earth,PHY,False
Silent Support,II,Guy,AD,Earth,PHY,False
Awoken Gigantbreak,II,Guy,DuAW,Earth,PHY,False
Hand of the Emperor,II,Leon,Unique,NE,PHY,True
Darkborn Blade,II,Leon,SSB,Dark,PHY,False
Dark Knight's Charge,II,Leon,BSB,Dark,PHY,True
Lord of Darkness,II,Leon,USB,Dark,PHY,True
Darkness Breaker,II,Leon,USB,Dark,PHY,False
Weapon of Darkness,II,Leon,USB,Dark,PHY,False
Soul of Darkness,II,Leon,ASB,Dark,PHY,True
Force of Darkness,II,Leon,GL,Dark,PHY,False
Rebellious Strike,II,Leon,GL2,Dark,PHY,False
Knight in the Dark,II,Leon,AW,Dark,PHY,False
Shadow Force,II,Leon,Sync,Dark,PHY,False
Teleport XVI,II,Minwu,Unique,NE,MAG,False
Will of the White Mage,II,Minwu,SSB,NE,NA,True
Seal of Heaven,II,Minwu,BSB,Holy,MAG,False
Holy XVI,II,Minwu,BSB,Holy,MAG,False
Enduring Revival,II,Minwu,USB,NE,NA,True
Bright Sigil,II,Minwu,USB,Holy,MAG,False
Light of Mysidia,II,Minwu,USB,Holy,MAG,True
Ultima (II),II,Minwu,ASB,Holy,MAG,False
Divine Dealings,II,Minwu,GL,Holy,NA,False
Shatter Seal,II,Minwu,GL2,Holy,MAG,False
Seal of Mysidia,II,Minwu,AW,Holy,MAG,False
Holy XCIX,II,Minwu,Sync,Holy,MAG,False
Holy Verdict,II,Minwu,OLB,Holy,MAG,False
Holy Raiment,II,Minwu,GLB,Holy,NA,True
Apex Ultima,II,Minwu,AD,Holy,MAG,False
Holy Bond (Minwu),II,Minwu,Chain4,Holy,MAG,False
Awoken Seal of Heaven,II,Minwu,DuAW,Holy,MAG,False
Flames of Kashuan,II,Gordon,Unique,Fire,MAG,False
Goddess's Bell,II,Gordon,Unique,NE,PHY,True
Kashuan's Resolve,II,Gordon,SSB,NE,NA,True
Egil's Blaze,II,Gordon,BSB,Fire,PHY,True
A Leader Wakes,II,Gordon,USB,Fire,PHY,True
Rebellion's Link,II,Gordon,Chain2,ALL,PHY MAG,True
Brotherly Redemption,II,Gordon,GL,Fire,PHY,True
Royal Honor,II,Gordon,GL,Fire,NA,True
Kashuan Royal Shield,II,Gordon,AW,Fire,PHY MAG,False
Inspiring Moment,II,Gordon,AW,NE,NA,False
Honored Memory,II,Gordon,Sync,NE,NA,False
Hour of Purpose,II,Gordon,AD,Fire,PHY MAG,False
Captain's Command,II,Leila,Unique,NE,NA,False
Pirate's Knives,II,Leila,SSB,Water,PHY,False
Poison Cloud XVI,II,Leila,BSB,Poison,PHY,True
Pirate Scourge,II,Leila,USB,Water Poison,PHY,True
Pirate's Gaze,II,Leila,USB,Water,PHY,False
Poison Bond,II,Leila,Chain4,Poison,PHY MAG,True
Water Bond,II,Leila,Chain4,Water,PHY MAG,False
Splash LXIV,II,Leila,ASB,Water,PHY,False
Aqua Venom,II,Leila,GL2,Water Poison,PHY,False
Pirate's Pluck,II,Leila,GL2,Water,NA,False
Pirate's Cutlass,II,Leila,AW,Water,PHY,True
Bio Splash,II,Leila,AW,Water Poison,PHY,False
Split Edge,II,Leila,Sync,Water,PHY,False
Hollow Beauty,II,Leila,Sync,Poison,PHY,False
Pirate's Splash,II,Leila,AD,Water,PHY,False
Pirate's Knife,II,Leila,OLB,Water Poison,PHY,False
Awoken Poison Cloud XVI,II,Leila,DuAW,Poison,PHY,False
Wyvern,II,Ricard,Unique,Fire,PHY,False
Highwind Secrets,II,Ricard,SSB,Wind,PHY,True
Pride of Deist,II,Ricard,BSB,Wind,PHY,False
Wyvern's Roar,II,Ricard,USB,Wind Lightning,PHY,True
Raging Stormlance,II,Ricard,ASB,Wind Lightning,PHY,True
Dragoon Justice,II,Ricard,GL2,Wind Lightning,NA,False
Last Dragoon's Resolve,II,Ricard,GL2,NE,NA,False
Last Dragoon,II,Ricard,AW,Wind Lightning,PHY,False
Windbolt Dragoon,II,Ricard,Sync,Wind Lightning Water Dark,PHY,False
Noble Sacrifice,II,Josef,Unique,NE,NA,True
Avalanche,II,Josef,Unique,Ice,PHY,True
Snows of Death,II,Josef,SSB,Ice,PHY,False
Snow Crush,II,Josef,SSB,Ice,PHY,False
Undaunted Hero,II,Josef,BSB,Ice,PHY,False
Hero's Smash,II,Josef,USB,Ice,PHY,True
Heroic Soul,II,Josef,USB,NE,NA,False
Dauntless Courage,II,Josef,Chain3,ALL,PHY MAG,False
Hero's Backbone,II,Josef,ASB,Ice,PHY,False
Hero's Roar,II,Josef,GL,Ice,PHY,False
Heroic Class,II,Josef,GL2,Ice,NA,False
Hero's Heart,II,Josef,GL2,NE,NA,True
Purposeful Journey,II,Josef,AW,Ice,PHY,False
Snow Savvy,II,Josef,AW,Ice Earth,PHY,False
Hero's Resolve,II,Josef,Sync,Ice,PHY,False
Heroic Blow,II,Josef,Sync,Ice,PHY,False
Heroic Hardhead,II,Josef,OLB,Ice,PHY,False
Frost Flash (Josef),II,Josef,GLB,Ice,PHY,False
Snowfield Survivor,II,Josef,AD,Ice,PHY,False
Prison of Sorrow,II,Emperor,SSB,Dark,MAG,True
Winds of War,II,Emperor,BSB,Dark Wind,MAG,False
Hell's Maw,II,Emperor,BSB,Dark Earth,MAG,True
Dire Apocalypse,II,Emperor,USB,Earth Wind,MAG,False
Repentence Thorns,II,Emperor,USB,Dark Earth,MAG,True
Kaiser Wave,II,Emperor,USB,Dark Earth Wind,MAG,False
Invasion XXXII,II,Emperor,Chain2,Earth,MAG,True
Nihilistic Glamour,II,Emperor,ASB,Dark Earth Wind,MAG,False
Clever Ruse,II,Emperor,GL,Lightning,NA,True
Tyrannical Directive,II,Emperor,GL,Dark Earth Wind,MAG,True
Hellish Gale,II,Emperor,GL2,Dark Earth Wind,MAG,True
Imperious Tyrant,II,Emperor,GL2,NE,NA,False
Elemental Domination,II,Emperor,AW,Dark Earth Wind,MAG,True
Illegal Flare,II,Emperor,AW,Dark,MAG,False
World Dominator,II,Emperor,Sync,Dark Earth Wind,MAG,False
Imperial Elements,II,Emperor,OLB,Dark Earth Wind,MAG,False
Accursed Storm,II,Emperor,AD,Dark Earth Wind,MAG,False
Awoken Prison of Sorrow,II,Emperor,DuAW,Dark Earth Wind,MAG,False
Prayer for Peace,II,Hilda,BSB,NE,NA,True
Sentimental Moon,II,Hilda,USB,NE,NA,False
Winning Waltz,II,Hilda,USB,NE,NA,True
Dignity Preserved,II,Hilda,GL2,NE,NA,False
Blossoming Peace,II,Hilda,AW,NE,NA,True
Road to Victory,II,Hilda,AW,NE,NA,False
Wild Rose Blossom,II,Hilda,Sync,NE,NA,False
Ring of Love,II,Scott,SSB,Fire,PHY,False
Scathing Sun,II,Scott,BSB,Fire,PHY,True
Boundless Spirit,II,Scott,USB,NE,NA,True
Dawnfire,II,Scott,ASB,Fire,PHY,True
Ardent Valor,II,Scott,GL,Fire,NA,False
Hungry for Battle,II,Scott,GL2,Fire,NA,False
Kashuan Kingsblade,II,Scott,AW,Fire,PHY,False
Shimmering Sword,II,Scott,AW,Fire,PHY,False
Scarlet Pyroblade,II,Scott,Sync,Fire,PHY,False
Advance,III,Luneth,Unique,NE,NA,False
Blade Torrent,III,Luneth,Unique,NE,PHY,False
Swordshower,III,Luneth,SSB,Wind,PHY,True
Eternal Wind,III,Luneth,BSB,Wind,PHY,False
Heavenly Gust,III,Luneth,OSB,Wind,PHY,True
Zephir Memories,III,Luneth,USB,Wind,PHY,False
Howling Vortex,III,Luneth,USB,Wind,PHY,False
Winds of Possibility,III,Luneth,Chain2,Wind,PHY,False
Storm of Blades,III,Luneth,ASB,Wind,PHY,False
Howling Winds,III,Luneth,GL,Wind,PHY,False
Master Dragoon,III,Luneth,GL2,NE,NA,True
Wind Chosen,III,Luneth,AW,Wind,PHY,True
Cloud Runner,III,Luneth,AW,Wind,PHY,True
Silver Wind,III,Luneth,Sync,Wind,PHY,False
Dragon's Tornado,III,Luneth,Sync,Wind,PHY,False
Tempest Dash,III,Luneth,OLB,Wind,PHY,False
Wind Flash (Luneth),III,Luneth,GLB,Wind,PHY,False
Apex Eternal Wind,III,Luneth,AD,Wind,PHY,False
Bond (Luneth),III,Luneth,Chain4,ALL,PHY MAG,False
Soothing Light,III,Arc,Unique,NE,NA,True
Renewing Rains,III,Arc,SSB,NE,NA,True
Word of Kindness,III,Arc,SSB,NE,NA,True
Break of Valor,III,Arc,BSB,Holy Water,MAG,True
Auroral Grace,III,Arc,BSB,Holy,MAG,False
Summon Leviath,III,Arc,USB,Water,MAG,True
Water's Grace,III,Arc,USB,Holy Water,MAG,True
Heavenly Rains,III,Arc,USB,NE,NA,False
Lightbringers,III,Arc,Chain3,ALL,PHY MAG,False
Divine Wave,III,Arc,ASB,Holy Water,MAG,False
Soaring Melody,III,Arc,GL,NE,NA,False
Shimmerwave Song,III,Arc,GL2,Holy Water,NA,False
Sacred Breath,III,Arc,GL2,Holy Water,NA,True
Awaken Leviath,III,Arc,AW,Holy Water,MAG,False
Grace of Water,III,Arc,AW,Holy Water,MAG,False
Invoke Leviath,III,Arc,Sync,Holy Water,MAG,True
Spellbreak Volley,III,Refia,Unique,NE,PHY,True
Blazing Fists,III,Refia,SSB,NE,PHY,True
Dance of Carnage,III,Refia,BSB,Fire,PHY,True
Burning Devotion,III,Refia,USB,Fire,PHY,True
Forge Pillar,III,Refia,USB,Fire,PHY,False
Trine Flamefist,III,Refia,ASB,Fire,PHY,False
Bridled Love,III,Refia,GL,Fire,PHY,False
Beacon of Love,III,Refia,GL2,Fire,NA,True
Battering Heat,III,Refia,AW,Fire,PHY,False
Blacksmith Discipline,III,Refia,AW,Fire,PHY,False
Searing Circle,III,Refia,Sync,Fire,PHY,False
Maiden's Hammerblow,III,Refia,OLB,Fire,PHY,False
Awoken Battering Heat,III,Refia,DuAW,Fire,PHY,False
Earth Ward,III,Ingus,Unique,NE,NA,False
Gaia's Vengeance,III,Ingus,SSB,NE,PHY,True
Titan's Blade,III,Ingus,SSB,Earth,PHY,False
Oathsworn Espada,III,Ingus,BSB,Earth,PHY,False
Faith Escutcheon,III,Ingus,BSB,Earth,PHY,True
Gaian Promise,III,Ingus,USB,Earth,PHY,True
Attested Strenght,III,Ingus,Chain,Earth,PHY,True
Titanic Bash,III,Ingus,ASB,Earth,PHY,False
Gaia Sword,III,Ingus,GL,Earth,PHY,False
Titanic Force,III,Ingus,GL2,Earth,NA,False
Order of Sasune,III,Ingus,GL2,NE,NA,True
Solid Titan,III,Ingus,AW,Earth,PHY,False
Monolith Sword,III,Ingus,AW,Earth,PHY,False
Knight's Assault,III,Ingus,Sync,Earth,PHY,False
Paragon of Chivalry,III,Ingus,Sync,Earth,PHY,False
Apex Devout Soul,III,Ingus,AD,Earth,PHY,False
Bolt of the Ancients,III,Desch,Unique,Lightning,MAG,False
Selfless Spirit,III,Desch,Unique,NE,NA,False
Roiling Memories,III,Desch,SSB,Lightning,MAG,True
Ancient Lightning,III,Desch,BSB,Lightning,MAG,True
Roar of Duty,III,Desch,USB,Lightning,MAG,False
Lightning Embodied,III,Desch,Chain2,Lightning,MAG,True
Violet Flash,III,Desch,GL,Lightning,NA,False
Shattering Thunder,III,Desch,GL,Lightning,MAG,False
Violet Strike,III,Desch,GL2,Lightning,NA,False
Growling Thunder,III,Desch,GL2,Lightning,NA,False
Amethyst Lightning,III,Desch,GL2,Lightning,NA,False
Owen's Rage,III,Desch,AW,Lightning,MAG,False
Distant Lightning,III,Desch,AW,Lightning,MAG,False
Life Spark,III,Desch,Sync,Lightning,MAG,False
Owen's Will,III,Desch,OLB,Lightning,MAG,False
Apex Violet Flash,III,Desch,AD,Lightning,MAG,False
Awoken Owen's Rage,III,Desch,DuAW,Lightning,MAG,False
Onion Slice,III,Onion Knight,SSB,NE,PHY,True
Blowback,III,Onion Knight,SSB,NE,MAG,True
Vessel of Fate,III,Onion Knight,BSB,NE,PHY MAG,True
Sword and Spell,III,Onion Knight,OSB,NE,PHY MAG,True
Forbidden Power,III,Onion Knight,USB,NE,PHY,True
Forbidden Wisdom,III,Onion Knight,USB,NE,MAG,True
Sage Unleashed,III,Onion Knight,USB,Fire Water Wind Earth,MAG,True
Unleashed Potential,III,Onion Knight,Chain2,ALL,PHY MAG,True
Mystic Fencer Might,III,Onion Knight,ASB,Fire Water Wind Earth,PHY,False
Mystic Fencer Arts,III,Onion Knight,ASB,Fire Water Wind Earth,MAG,False
Onion Soul,III,Onion Knight,GL,NE,NA,True
Fluctuating Power,III,Onion Knight,GL,Fire Water Wind Earth,NA,True
Onion Water,III,Onion Knight,GL2,Water,NA,True
Onion Aero,III,Onion Knight,GL2,Wind,MAG,True
Onion Earth,III,Onion Knight,GL2,Earth,NA,False
Stalwart Potential,III,Onion Knight,AW,Fire Water Wind Earth,PHY,True
Arcane Potential,III,Onion Knight,AW,Fire Water Wind Earth,MAG,True
Turbo-Hit +,III,Onion Knight,AW,Wind Water Fire Earth,PHY,False
Dark Vision,III,Onion Knight,AW,Wind Water Fire Earth,MAG,False
Channel Water,III,Onion Knight,Sync,Water,MAG,False
Channel Earth,III,Onion Knight,Sync,Earth,MAG,False
Channel Wind,III,Onion Knight,Sync,Wind,MAG,False
Onion Dual Wield,III,Onion Knight,Sync,Wind Water Fire Earth,PHY,False
Water Flash (Onion Knight),III,Onion Knight,GLB,Water,MAG,False
Spectral Onion,III,Onion Knight,OLB,Wind Water Fire Earth,MAG,False
Apex Blowback,III,Onion Knight,AD,Water,MAG,False
Tornado,III,Onion Knight,AD,Wind,MAG,False
Anti-air Particle Beam,III,Cloud of Darkness,SSB,Dark Holy,MAG,True
Fusillade Particle Beam,III,Cloud of Darkness,BSB,Dark Holy,MAG,True
0-Form Particle Beam,III,Cloud of Darkness,BSB,Dark,MAG,True
Convergent Particle Beam,III,Cloud of Darkness,OSB,Dark,MAG,False
Insulating Appendages,III,Cloud of Darkness,USB,Dark Lightning,MAG,False
Wide-Angle Particle Beam,III,Cloud of Darkness,USB,Dark Lightning,MAG,True
Flood of Darkness,III,Cloud of Darkness,Chain2,Dark,MAG,True
Feint Particle Beam,III,Cloud of Darkness,ASB,Dark Lightning,MAG,True
Saturating Particle Flux,III,Cloud of Darkness,GL2,NE,NA,True
Swathed in Darkness,III,Cloud of Darkness,GL2,Dark,NA,False
Lightning Deluge,III,Cloud of Darkness,GL2,Lightning,NA,False
Arcane Rampart,III,Cloud of Darkness,GL,NE,NA,False
Wrath Particle Beam,III,Cloud of Darkness,AW,Dark Lightning,MAG,True
High-Speed Particle Beam,III,Cloud of Darkness,AW,Dark Lightning,MAG,True
Obstruction Particle Beam,III,Cloud of Darkness,AW,Dark Lightning,MAG,False
Diffusion Particle Beam,III,Cloud of Darkness,Sync,Dark,MAG,False
Scatter Particle Beam,III,Cloud of Darkness,Sync,Dark Lightning,MAG,False
Fabled Particle Beam,III,Cloud of Darkness,OLB,Dark,MAG,False
Spiraling Flash (CoD),III,Cloud of Darkness,GLB,Dark Lightning,MAG,False
Ultra Particle Beam,III,Cloud of Darkness,AD,Dark Lightning,MAG,False
Life of Devotion,III,Aria,SSB,NE,NA,True
Maiden of Water,III,Aria,BSB,NE,NA,True
Seaborne Encounter,III,Aria,USB,NE,NA,False
Prismatic Light,III,Aria,USB,NE,NA,False
Divine Curtain,III,Aria,GL2,NE,NA,True
Remnant Light,III,Aria,GL2,NE,NA,False
Maiden's Miracle,III,Aria,AW,NE,NA,True
Ephemeral Maiden,III,Aria,Sync,NE,NA,True
Rainbow Prayer,III,Aria,Sync,NE,NA,False
Darkness,IV,Decil,Unique,NE,PHY,False
Dark Cannon,IV,Decil,Unique,NE,PHY,False
Soul Eater,IV,Decil,Unique,NE,PHY,False
Shadowbringer,IV,Decil,SSB,NE,PHY,False
Abyss Gate,IV,Decil,BSB,Dark,PHY,False
Dark Flame,IV,Decil,BSB,Dark Fire,PHY,True
Endless Darkness,IV,Decil,USB,Dark,PHY,True
Nightmare Blade,IV,Decil,ASB,Dark,PHY,True
Evil Force,IV,Decil,GL,NE,NA,True
Evil Zone,IV,Decil,GL2,Dark,NA,False
Dark Bond (Cecil (Dark Knight)),IV,Decil,Chain4,Dark,PHY,False
Dark Crescent,IV,Decil,AW,Dark,PHY,False
Shadow Blazer,IV,Decil,Sync,Dark,PHY,False
Tenebrous Blast,IV,Decil,Sync,Dark,PHY,False
Abyssal Onslaught,IV,Decil,OLB,Dark,PHY,False
Job Change,IV,Decil,AD,Dark,PHY,True
Awoken Dark Crescent,IV,Decil,DuAW,Dark,PHY,True
Radiant Wings,IV,Pecil,Unique,Holy,PHY,True
Sentinel,IV,Pecil,Unique,NE,NA,False
Saint's Fall,IV,Pecil,SSB,Holy,PHY,True
Paladin Force,IV,Pecil,BSB,Holy,PHY,False
Radiant Blast,IV,Pecil,BSB,Holy,PHY,False
Arc of Light,IV,Pecil,OSB,Holy,PHY,True
Sacred Cross,IV,Pecil,USB,Holy,PHY,False
Holy Blade,IV,Pecil,USB,Holy,PHY MAG,False
Paladin Wall,IV,Pecil,USB,NE,NA,True
Crystal Vanguard,IV,Pecil,USB,Holy,PHY,True
Chain of Light,IV,Pecil,Chain,Holy,PHY,True
Benevolent Prayer,IV,Pecil,Chain3,ALL,PHY MAG,False
Bond (Pecil),IV,Pecil,Chain4,ALL,PHY MAG,False
Holy Devastation,IV,Pecil,ASB,Holy,PHY,False
Saintly Force,IV,Pecil,GL,Holy,NA,True
Valiant Force,IV,Pecil,GL,Holy,NA,True
Defiant Force,IV,Pecil,GL2,NE,NA,False
Shining Crescent,IV,Pecil,AW,Holy,PHY MAG,True
Trinity Crusade,IV,Pecil,AW,Holy,PHY MAG,False
Shine Braver,IV,Pecil,Sync,Holy,PHY MAG,False
Sacred Charge,IV,Pecil,OLB,Holy,PHY MAG,False
Soul Shift,IV,Pecil,AD,Holy,PHY MAG,False
Awoken Radiant Blast,IV,Pecil,DuAW,Holy,PHY MAG,False
Lancet,IV,Kain,Unique,NE,PHY,True
Gungnir,IV,Kain,Unique,NE,PHY,False
Rising Drive,IV,Kain,SSB,NE,PHY,False
Dragoon's Pride,IV,Kain,BSB,Lightning,PHY,True
Kain's Lance,IV,Kain,OSB,Lightning,PHY,True
Luminous Dragon,IV,Kain,USB,Lightning,PHY,True
Dragon's Wrath,IV,Kain,USB,Lightning,PHY,False
